method,order,query_id,split,stop_step,budget_frac,stopped,ndcg,ndcg_vs_bm25,ndcg_vs_exhaustive,topk_overlap_vs_exhaustive,exact_topk_match,severe_harm,premature_stop_qrel_label,premature_instability_qrelfree
fixed_0.05,random,ba69c46c62b525941e91d0788d20b6ef91847cc4,dev,5,0.047619047619047616,True,0.9668342083190152,-0.00405810929155459,-0.03316579168098477,0.6666666666666666,False,False,True,True
fixed_0.10,random,ba69c46c62b525941e91d0788d20b6ef91847cc4,dev,10,0.09523809523809523,True,0.9668342083190152,-0.00405810929155459,-0.03316579168098477,0.6666666666666666,False,False,True,True
fixed_0.20,random,ba69c46c62b525941e91d0788d20b6ef91847cc4,dev,21,0.2,True,0.8687949224876582,-0.1020973951229116,-0.13120507751234178,0.5384615384615384,False,True,True,True
exhaustive,random,ba69c46c62b525941e91d0788d20b6ef91847cc4,dev,105,1.0,True,1.0,0.02910768238943018,0.0,1.0,True,False,False,False
counterfactual_primary,random,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,dev,17,0.1619047619047619,True,0.8502983370860306,0.1251739405390886,-0.12444461577075727,0.8181818181818182,False,False,True,True
counterfactual_conservative,random,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,dev,63,0.6,False,0.9068250379649666,0.18170064141802456,-0.06791791489182131,1.0,True,False,False,False
counterfactual_aggressive,random,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,dev,7,0.06666666666666667,True,0.8502983370860306,0.1251739405390886,-0.12444461577075727,0.6666666666666666,False,False,True,True
simple_recent_stability,random,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,dev,11,0.10476190476190476,True,0.8502983370860306,0.1251739405390886,-0.12444461577075727,0.8181818181818182,False,False,True,True
fixed_0.05,random,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,dev,5,0.047619047619047616,True,0.8502983370860306,0.1251739405390886,-0.12444461577075727,0.6666666666666666,False,False,True,True
fixed_0.10,random,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,dev,10,0.09523809523809523,True,0.8502983370860306,0.1251739405390886,-0.12444461577075727,0.8181818181818182,False,False,True,True
fixed_0.20,random,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,dev,21,0.2,True,0.8502983370860306,0.1251739405390886,-0.12444461577075727,0.8181818181818182,False,False,True,True
exhaustive,random,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,dev,105,1.0,True,0.9747429528567879,0.24961855630984586,0.0,1.0,True,False,False,False
counterfactual_primary,random,eb3d1b885bfa800badfd79c6921a07d01491aedb,dev,33,0.3142857142857143,True,0.9669850519151657,0.24425847927021382,-0.033014948084834295,0.8181818181818182,False,False,True,True
